Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1018.25,21.89,20.49,0.922,0.521,1.303,-42.02,214.8,0.427
MPT,114.27,14.5,19.58,0.587,0.235,0.883,-61.63,323.2,0.181
1/N,206.25,16.45,18.82,0.714,0.345,0.966,-47.69,0.0,71.448
S&P 500,19.43,8.85,15.59,0.375,0.185,0.475,-47.74,5.0,6.249
