Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,864.02,21.31,20.44,0.896,0.478,1.239,-44.6,197.4,0.452
MPT,148.36,15.36,19.39,0.637,0.417,1.155,-36.79,326.8,0.194
1/N,155.68,15.52,18.58,0.674,0.325,0.864,-47.8,0.0,67.353
S&P 500,16.1,8.27,15.84,0.332,0.173,0.426,-47.74,5.0,5.54
