Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1192.19,22.44,19.65,0.989,0.654,1.455,-34.32,198.5,0.496
MPT,324.02,17.96,45.48,0.329,0.394,1.204,-45.61,350.5,0.094
1/N,187.23,16.13,17.99,0.73,0.384,0.996,-42.03,0.3,54.236
S&P 500,17.28,8.48,15.81,0.347,0.178,0.44,-47.74,5.0,5.78
