Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1275.42,22.67,20.57,0.956,0.622,1.337,-36.47,214.4,0.444
MPT,342.9,18.15,41.93,0.361,0.38,1.17,-47.79,334.5,0.108
1/N,192.09,16.21,18.45,0.716,0.351,0.921,-46.19,0.1,67.744
S&P 500,16.71,8.38,15.79,0.341,0.176,0.436,-47.74,5.0,5.681
