Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,40676.41,35.43,26.85,1.208,1.315,2.406,-26.94,170.5,0.704
MPT,67.49,12.79,18.62,0.526,0.195,0.634,-65.66,329.4,0.159
1/N,9228.55,29.81,26.66,1.005,1.082,1.976,-27.54,0.1,90.234
S&P 500,16.71,8.38,15.79,0.341,0.176,0.436,-47.74,5.0,5.681
