Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1407.84,23.02,20.36,0.983,0.565,1.412,-40.72,224.2,0.437
MPT,115.08,14.52,20.32,0.567,0.328,1.04,-44.34,349.7,0.162
1/N,229.99,16.81,18.88,0.731,0.356,0.964,-47.17,0.1,69.157
S&P 500,15.8,8.21,15.83,0.329,0.172,0.421,-47.74,5.0,5.482
