Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,968.57,21.71,19.2,0.975,0.581,1.534,-37.37,197.1,0.492
MPT,28.0,9.99,17.54,0.399,0.21,0.673,-47.57,339.9,0.117
1/N,148.63,15.36,17.48,0.707,0.358,1.034,-42.97,0.1,63.483
S&P 500,16.71,8.38,15.79,0.341,0.176,0.436,-47.74,5.0,5.681
