Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,2186.01,24.58,21.64,0.997,0.632,1.448,-38.89,199.9,0.496
MPT,79.74,13.33,22.16,0.466,0.237,0.684,-56.15,323.0,0.144
1/N,448.3,19.06,20.54,0.782,0.436,1.095,-43.68,0.2,63.555
S&P 500,15.84,8.21,15.83,0.329,0.172,0.422,-47.74,5.0,5.488
