Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,671.6,20.44,18.97,0.92,0.52,1.297,-39.34,193.8,0.472
MPT,92.57,13.81,18.31,0.591,0.272,0.975,-50.76,342.0,0.172
1/N,140.43,15.18,17.64,0.69,0.338,0.917,-44.89,0.2,55.971
S&P 500,14.99,8.04,15.94,0.316,0.168,0.408,-47.74,5.0,5.273
