Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1337.76,22.84,20.76,0.955,0.566,1.363,-40.38,214.6,0.443
MPT,74.67,13.12,21.8,0.464,0.21,0.686,-62.48,356.6,0.13
1/N,187.87,16.14,18.41,0.714,0.349,0.93,-46.27,0.1,67.389
S&P 500,22.85,9.35,15.43,0.412,0.196,0.528,-47.74,5.0,6.864
