Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1002.91,21.83,21.38,0.881,0.546,1.264,-39.97,216.0,0.406
MPT,31.62,10.37,21.82,0.338,0.144,0.4,-72.07,346.5,0.097
1/N,132.71,14.99,18.68,0.642,0.333,0.827,-45.08,0.1,60.729
S&P 500,16.71,8.38,15.79,0.341,0.176,0.436,-47.74,5.0,5.681
