Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,984.32,21.77,19.46,0.964,0.607,1.429,-35.89,195.6,0.491
MPT,67.93,12.81,19.33,0.507,0.219,0.673,-58.54,330.1,0.153
1/N,181.56,16.03,17.79,0.732,0.374,1.001,-42.87,0.0,73.208
S&P 500,18.42,8.68,15.64,0.363,0.182,0.462,-47.74,5.0,6.053
