Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1046.1,21.98,22.6,0.84,0.463,1.204,-47.51,198.0,0.422
MPT,190.71,16.19,21.7,0.608,0.42,1.094,-38.58,321.6,0.188
1/N,167.34,15.76,19.89,0.641,0.31,0.841,-50.79,0.3,49.869
S&P 500,16.71,8.38,15.79,0.341,0.176,0.436,-47.74,5.0,5.681
