Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1042.74,21.97,18.96,1.0,0.648,1.408,-33.91,209.0,0.476
MPT,54.13,12.08,18.37,0.494,0.205,0.655,-58.8,321.5,0.153
1/N,229.92,16.81,17.91,0.771,0.421,1.034,-39.94,0.1,72.959
S&P 500,16.71,8.38,15.79,0.341,0.176,0.436,-47.74,5.0,5.681
