Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1232.96,22.55,20.22,0.967,0.586,1.418,-38.51,201.5,0.477
MPT,170.96,15.83,36.49,0.351,0.275,0.953,-57.45,323.9,0.108
1/N,200.89,16.36,17.91,0.746,0.374,0.984,-43.74,0.0,74.617
S&P 500,16.45,8.33,15.84,0.337,0.175,0.432,-47.74,5.0,5.609
