Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1431.34,23.08,21.02,0.955,0.514,1.339,-44.89,211.6,0.449
MPT,110.43,14.39,36.64,0.311,0.209,0.593,-69.0,327.4,0.095
1/N,214.43,16.58,19.69,0.69,0.326,0.944,-50.87,0.1,61.902
S&P 500,16.71,8.38,15.79,0.341,0.176,0.436,-47.74,5.0,5.681
