Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1534.4,23.7,19.53,1.06,0.732,1.482,-32.38,203.0,0.52
MPT,190.21,16.43,35.56,0.378,0.223,0.663,-73.78,305.2,0.123
1/N,255.9,17.44,18.19,0.794,0.41,1.032,-42.58,0.1,71.1
S&P 500,16.07,8.38,15.91,0.338,0.184,0.432,-45.66,5.0,5.638
