Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1277.84,22.68,20.54,0.958,0.549,1.416,-41.28,203.8,0.468
MPT,216.95,16.62,20.7,0.658,0.266,0.917,-62.55,333.0,0.197
1/N,216.41,16.61,18.93,0.719,0.356,1.002,-46.71,0.2,61.358
S&P 500,16.71,8.38,15.79,0.341,0.176,0.436,-47.74,5.0,5.681
