Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1183.27,22.41,18.52,1.048,0.723,1.494,-30.99,207.7,0.502
MPT,225.66,16.75,38.36,0.358,0.314,1.181,-53.34,347.8,0.103
1/N,239.17,16.94,17.55,0.794,0.452,1.077,-37.52,0.2,67.74
S&P 500,16.68,8.37,15.84,0.339,0.175,0.435,-47.74,5.0,5.654
