Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1672.45,23.63,19.82,1.041,0.69,1.479,-34.25,214.2,0.484
MPT,300.05,17.7,46.64,0.315,0.313,1.201,-56.58,334.1,0.094
1/N,191.48,16.2,17.93,0.736,0.374,0.998,-43.29,0.2,62.861
S&P 500,16.71,8.38,15.79,0.341,0.176,0.436,-47.74,5.0,5.681
