Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,885.94,21.4,20.29,0.907,0.55,1.217,-38.91,184.0,0.49
MPT,246.84,17.05,38.0,0.37,0.317,1.206,-53.7,327.5,0.113
1/N,159.83,15.6,18.05,0.698,0.346,0.865,-45.1,0.1,66.047
S&P 500,16.71,8.38,15.79,0.341,0.176,0.436,-47.74,5.0,5.681
