Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1349.75,22.87,20.31,0.979,0.517,1.429,-44.27,194.8,0.5
MPT,85.43,13.55,20.17,0.523,0.245,0.732,-55.25,358.3,0.146
1/N,206.94,16.46,17.97,0.749,0.354,0.979,-46.56,0.1,67.104
S&P 500,18.48,8.69,15.62,0.364,0.175,0.464,-49.68,5.0,6.071
