Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1157.67,22.33,19.64,0.985,0.603,1.332,-37.01,186.9,0.524
MPT,113.18,14.47,19.62,0.584,0.243,0.899,-59.51,314.1,0.185
1/N,181.72,16.03,18.17,0.717,0.354,0.926,-45.25,0.0,71.72
S&P 500,15.85,8.22,15.83,0.329,0.172,0.422,-47.74,5.0,5.491
