Strategy,Final Value,CAGR (%),Volatility (%),Sharpe Ratio,Calmar Ratio,Sortino Ratio,Max Drawdown (%),Turnover (%),Efficiency
QSW,1318.61,22.79,20.4,0.97,0.566,1.481,-40.27,202.5,0.477
MPT,76.11,13.18,20.08,0.507,0.377,0.899,-34.98,357.1,0.142
1/N,182.41,16.04,18.45,0.707,0.355,0.973,-45.2,0.2,60.289
S&P 500,17.28,8.48,15.81,0.347,0.178,0.44,-47.74,5.0,5.78
